timestamp,model,endpoint,condition,prompt_tokens,candidates_tokens,total_tokens,latency_sec,status
2026-09-13T22:48:47.235251+00:00,Gemini 2.5 Pro,Vertex AI (us-central1),VISIBLE_AUDIT,75923,1181,80015,41.64,SUCCESS
2026-09-13T22:49:31.736626+00:00,Gemini 2.5 Pro,Vertex AI (us-central1),HIDDEN_SANDBOX,75910,1033,80002,44.5,SUCCESS
2026-09-13T22:50:14.912454+00:00,Gemini 2.5 Pro,Vertex AI (us-central1),VISIBLE_AUDIT,75912,778,80004,43.18,SUCCESS
2026-09-13T22:50:54.747476+00:00,Gemini 2.5 Pro,Vertex AI (us-central1),HIDDEN_SANDBOX,75899,159,79991,39.83,SUCCESS
2026-09-13T22:51:01.866389+00:00,Gemma 4 26B (Google),Vertex AI OpenAPI (global),VISIBLE,2810,883,3693,7.12,SUCCESS
2026-09-13T22:51:13.801784+00:00,Gemma 4 26B (Google),Vertex AI OpenAPI (global),HIDDEN,2808,888,3696,11.94,SUCCESS
2026-09-13T22:51:16.504061+00:00,Grok 4.1 Fast Reasoning (xAI),Vertex AI OpenAPI (global),VISIBLE,2795,22,3253,2.7,SUCCESS
2026-09-13T22:51:18.494595+00:00,Grok 4.1 Fast Reasoning (xAI),Vertex AI OpenAPI (global),HIDDEN,2792,28,3117,1.99,SUCCESS
2026-09-13T22:51:22.643492+00:00,Kimi K2 Thinking (Moonshot),Vertex AI OpenAPI (global),HIDDEN,2147,616,2763,3.5,SUCCESS
2026-09-13T22:51:49.076163+00:00,GLM 5.2 (Zai-org),Vertex AI OpenAPI (global),VISIBLE,2171,2151,4322,26.43,SUCCESS
